month,year,institute,place,country
September,2015,"Machine Learning for Personalised Medicine Summer School, Manchester",,UK
September,2015,"Gaussian Process Summer School, Sheffield",,UK
August,2015,"Harvard School of Engineering and Applied Sciences",,USA
August,2015,"Microsoft Research, New England",,USA
July,2015,"Max Planck Institute for Intelligent Systems, Stuttgart",,Germany
July,2015,"Machine Learning Summer School, Tübingen",,Germany
July,2015,"Deep Learning Workshop at ICML 2015",L'Ille,France
June,2015,"2nd Deep Learning Workshop",Edinburgh,UK
May,2015,"NYU Computer Science Colloquium",New York,USA
April,2015,"KTH Royal Institute of Technology",Stockholm,Sweden
April,2015,"IDA Machine Learning Seminars",Linkoping,Sweden
April,2015,"MascotNum Conference at Ecole des Mines",St Etienne,France
March,2015,"Max Planck Institute for Intelligent Systems, Tübingen",,Germany
March,2015,"Nottingham University, Department of Mathematical Sciences",,UK
March,2015,"Sheffield Festival of Science and Engineering",Sheffield,UK
March,2015,"Imperial College, Department of Computing",London,UK
January,2015,"IIT", Genoa, Italy
November,2014,"Warwick University, Department of Statistics",Coventry,UK
November,2014,"RSS Statistical Computing Section",London,UK
September,2014,"UCL-Duke Workshop, UCL",London,UK
July,2014,"Department of Statistics, University of Lancaster",,UK
May,2014,"Informatics Forum, University of Edinburgh",,UK
May,2014,"EBI, Hinxton",,UK
April,2014,"Ecole des Mines",Paris,France
April,2014,"Institute Curie",Paris,France
March,2014,"Facebook","Menlo Park, California",USA
February,2014,"Gatsby Computational Neuroscience, University College London",London,UK
February,2014,"Universidad Nacional de Colombia",Sede Manizales,Colombia
February,2014,"Department of Statistics, University of Oxford",,UK
January,2014,"Engineering Department, University of Cambridge",,UK
December,2013,"Maths Department, University of Leeds",,UK
November,2013,"Newcastle, Edinburgh, Cambridge and Sheffield Respiratory Departments' Meeting",Sheffield,UK
November,2013,"Leahurst Disease Mapping Workshop",Leahurst,UK
September,2013,"Max Planck Institute",Tübingen,Germany
September,2013,"Microsoft Research",Cambridge,UK
August,2013,"Makerere University",Kampala,Uganda
July,2013,"Department of Engineering Science, University of Oxford",,UK
May,2013,"Cambridge University Engineering Department",,UK
March,2013,"Max Planck Institute",Tübingen,Germany
January,2013,"Gatsby Computational Neuroscience Unit, UCL",London,UK
January,2013,"Department of Biomedical Engineering and Computational Science, Aalto University",,Finland
January,2013,"Department of Infection and Immunity, University of Sheffield",,UK
January,2013,"Faculty of Life Sciences, University of Manchester",,UK
November,2012,"Department of Infection and Immunity Away Day, Sheffield",,UK
July,2012,"Computer Science, UCLA",Los Angeles,USA
July,2012,"Pathologists Society, Summer Meeting",Sheffield,UK
May,2012,"Computer Science Department Seminar, University of Liverpool",,UK
April,2012,"MLSS Summer School",La Palma,Canary Islands
March,2012,"RANK Prize Workshop","Grasmere, Lake District",UK
February,2012,"Department of Engineering Science, University of Oxford",Oxford,UK
February,2012,"Cancer Research UK, Cambridge Research Centre",Cambridge,UK
November,2011,"Cambridge University Engineering Department",,UK
October,2011,"Gene Expression Profiling Workshop",Liverpool,UK
September,2011,"ABCD Conference 2011",Ravenna, Italy
September,2011,"Bayes 250 Workshop",Edinburgh,UK
August,2011,"Schlo\ss Dagstuhl",,Germany
June,2011,"Krebs Symposium",Sheffield,UK
May,2011,"Manifold Learning Workshop, Hausdorff Research Institute",Bonn,Germany
April,2011,"University of Siena",,Italy
March,2011,"University of Exeter",,UK
March,2011,"University of Loughborough",,UK
March,2011,"University of Edinburgh",,UK
January,2011,"SMPGD 2011 Workshop",Paris,France
December,2010,"NIPS Workshop in Challenges in Data Visualization",Vancouver,Canada
November,2010,"AAAI Fall Symposium on Manifold Methods",Washington,USA
October,2010,"Department of Statistics, Aalto University",,Finland
